aligner,analysisDate,biosampleId,id,individualId,info,pipelineName,pipelineRef,runId,variantCaller
bwa-0.5.9,2015-09-30,HG00131,UK1_analysisId_33,HG00131,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000033,GATK4.0
bwa-0.5.9,2015-09-30,HG00132,UK1_analysisId_34,HG00132,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000034,GATK4.0
bwa-0.5.9,2015-09-30,HG00133,UK1_analysisId_35,HG00133,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000035,GATK4.0
bwa-0.5.9,2015-09-30,HG00136,UK1_analysisId_36,HG00136,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000036,GATK4.0
bwa-0.5.9,2015-09-30,HG00137,UK1_analysisId_37,HG00137,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000037,GATK4.0
bwa-0.5.9,2015-09-30,HG00138,UK1_analysisId_38,HG00138,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000038,GATK4.0
bwa-0.5.9,2015-09-30,HG00139,UK1_analysisId_39,HG00139,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000039,GATK4.0
bwa-0.5.9,2015-09-30,HG00140,UK1_analysisId_40,HG00140,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000040,GATK4.0
bwa-0.5.9,2015-09-30,HG00141,UK1_analysisId_41,HG00141,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000041,GATK4.0
bwa-0.5.9,2015-09-30,HG00142,UK1_analysisId_42,HG00142,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000042,GATK4.0
bwa-0.5.9,2015-09-30,HG00143,UK1_analysisId_43,HG00143,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000043,GATK4.0
bwa-0.5.9,2015-09-30,HG00145,UK1_analysisId_44,HG00145,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000044,GATK4.0
bwa-0.5.9,2015-09-30,HG00146,UK1_analysisId_45,HG00146,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000045,GATK4.0
bwa-0.5.9,2015-09-30,HG00148,UK1_analysisId_46,HG00148,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000046,GATK4.0
bwa-0.5.9,2015-09-30,HG00149,UK1_analysisId_47,HG00149,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000047,GATK4.0
bwa-0.5.9,2015-09-30,HG00150,UK1_analysisId_48,HG00150,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000048,GATK4.0
bwa-0.5.9,2015-09-30,HG00151,UK1_analysisId_49,HG00151,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000049,GATK4.0
bwa-0.5.9,2015-09-30,HG00154,UK1_analysisId_50,HG00154,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000050,GATK4.0
bwa-0.5.9,2015-09-30,HG00155,UK1_analysisId_51,HG00155,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000051,GATK4.0
bwa-0.5.9,2015-09-30,HG00157,UK1_analysisId_52,HG00157,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000052,GATK4.0
bwa-0.5.9,2015-09-30,HG00158,UK1_analysisId_53,HG00158,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000053,GATK4.0
bwa-0.5.9,2015-09-30,HG00159,UK1_analysisId_54,HG00159,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000054,GATK4.0
bwa-0.5.9,2015-09-30,HG00160,UK1_analysisId_55,HG00160,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000055,GATK4.0
bwa-0.5.9,2015-09-30,HG00171,UK1_analysisId_56,HG00171,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000056,GATK4.0
bwa-0.5.9,2015-09-30,HG00173,UK1_analysisId_57,HG00173,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000057,GATK4.0
bwa-0.5.9,2015-09-30,HG00174,UK1_analysisId_58,HG00174,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000058,GATK4.0
bwa-0.5.9,2015-09-30,HG00176,UK1_analysisId_59,HG00176,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000059,GATK4.0
bwa-0.5.9,2015-09-30,HG00177,UK1_analysisId_60,HG00177,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000060,GATK4.0
bwa-0.5.9,2015-09-30,HG00178,UK1_analysisId_61,HG00178,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000061,GATK4.0
bwa-0.5.9,2015-09-30,HG00179,UK1_analysisId_62,HG00179,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000062,GATK4.0
bwa-0.5.9,2015-09-30,HG00180,UK1_analysisId_63,HG00180,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000063,GATK4.0
bwa-0.5.9,2015-09-30,HG00181,UK1_analysisId_64,HG00181,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000064,GATK4.0
bwa-0.5.9,2015-09-30,HG00182,UK1_analysisId_65,HG00182,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000065,GATK4.0
bwa-0.5.9,2015-09-30,HG00183,UK1_analysisId_66,HG00183,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000066,GATK4.0
bwa-0.5.9,2015-09-30,HG00185,UK1_analysisId_67,HG00185,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000067,GATK4.0
bwa-0.5.9,2015-09-30,HG00186,UK1_analysisId_68,HG00186,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000068,GATK4.0
bwa-0.5.9,2015-09-30,HG00187,UK1_analysisId_69,HG00187,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000069,GATK4.0
bwa-0.5.9,2015-09-30,HG00188,UK1_analysisId_70,HG00188,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000070,GATK4.0
bwa-0.5.9,2015-09-30,HG00189,UK1_analysisId_71,HG00189,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000071,GATK4.0
bwa-0.5.9,2015-09-30,HG00190,UK1_analysisId_72,HG00190,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000072,GATK4.0
bwa-0.5.9,2015-09-30,HG00231,UK1_analysisId_73,HG00231,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000073,GATK4.0
bwa-0.5.9,2015-09-30,HG00232,UK1_analysisId_74,HG00232,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000074,GATK4.0
bwa-0.5.9,2015-09-30,HG00233,UK1_analysisId_75,HG00233,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000075,GATK4.0
bwa-0.5.9,2015-09-30,HG00234,UK1_analysisId_76,HG00234,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000076,GATK4.0
bwa-0.5.9,2015-09-30,HG00235,UK1_analysisId_77,HG00235,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000077,GATK4.0
bwa-0.5.9,2015-09-30,HG00236,UK1_analysisId_78,HG00236,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000078,GATK4.0
bwa-0.5.9,2015-09-30,HG00237,UK1_analysisId_79,HG00237,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000079,GATK4.0
bwa-0.5.9,2015-09-30,HG00238,UK1_analysisId_80,HG00238,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000080,GATK4.0
bwa-0.5.9,2015-09-30,HG00239,UK1_analysisId_81,HG00239,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000081,GATK4.0
bwa-0.5.9,2015-09-30,HG00240,UK1_analysisId_82,HG00240,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000082,GATK4.0
bwa-0.5.9,2015-09-30,HG00242,UK1_analysisId_83,HG00242,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000083,GATK4.0
bwa-0.5.9,2015-09-30,HG00243,UK1_analysisId_84,HG00243,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000084,GATK4.0
bwa-0.5.9,2015-09-30,HG00244,UK1_analysisId_85,HG00244,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000085,GATK4.0
bwa-0.5.9,2015-09-30,HG00245,UK1_analysisId_86,HG00245,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000086,GATK4.0
bwa-0.5.9,2015-09-30,HG00246,UK1_analysisId_87,HG00246,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000087,GATK4.0
bwa-0.5.9,2015-09-30,HG00250,UK1_analysisId_88,HG00250,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000088,GATK4.0
bwa-0.5.9,2015-09-30,HG00251,UK1_analysisId_89,HG00251,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000089,GATK4.0
bwa-0.5.9,2015-09-30,HG00252,UK1_analysisId_90,HG00252,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000090,GATK4.0
bwa-0.5.9,2015-09-30,HG00253,UK1_analysisId_91,HG00253,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000091,GATK4.0
bwa-0.5.9,2015-09-30,HG00254,UK1_analysisId_92,HG00254,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000092,GATK4.0
bwa-0.5.9,2015-09-30,HG00255,UK1_analysisId_93,HG00255,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000093,GATK4.0
bwa-0.5.9,2015-09-30,HG00256,UK1_analysisId_94,HG00256,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000094,GATK4.0
bwa-0.5.9,2015-09-30,HG00257,UK1_analysisId_95,HG00257,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000095,GATK4.0
bwa-0.5.9,2015-09-30,HG00258,UK1_analysisId_96,HG00258,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000096,GATK4.0
bwa-0.5.9,2015-09-30,HG00259,UK1_analysisId_97,HG00259,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000097,GATK4.0
bwa-0.5.9,2015-09-30,HG00260,UK1_analysisId_98,HG00260,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000098,GATK4.0
bwa-0.5.9,2015-09-30,HG00261,UK1_analysisId_99,HG00261,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000099,GATK4.0
bwa-0.5.9,2015-09-30,HG00262,UK1_analysisId_100,HG00262,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000100,GATK4.0
bwa-0.5.9,2015-09-30,HG00263,UK1_analysisId_101,HG00263,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000101,GATK4.0
bwa-0.5.9,2015-09-30,HG00264,UK1_analysisId_102,HG00264,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000102,GATK4.0
bwa-0.5.9,2015-09-30,HG00265,UK1_analysisId_103,HG00265,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000103,GATK4.0
bwa-0.5.9,2015-09-30,HG00266,UK1_analysisId_104,HG00266,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000104,GATK4.0
bwa-0.5.9,2015-09-30,HG00267,UK1_analysisId_105,HG00267,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000105,GATK4.0
bwa-0.5.9,2015-09-30,HG00268,UK1_analysisId_106,HG00268,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000106,GATK4.0
bwa-0.5.9,2015-09-30,HG00269,UK1_analysisId_107,HG00269,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000107,GATK4.0
bwa-0.5.9,2015-09-30,HG00271,UK1_analysisId_108,HG00271,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000108,GATK4.0
bwa-0.5.9,2015-09-30,HG00272,UK1_analysisId_109,HG00272,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000109,GATK4.0
bwa-0.5.9,2015-09-30,HG00273,UK1_analysisId_110,HG00273,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000110,GATK4.0
bwa-0.5.9,2015-09-30,HG00274,UK1_analysisId_111,HG00274,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000111,GATK4.0
bwa-0.5.9,2015-09-30,HG00275,UK1_analysisId_112,HG00275,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000112,GATK4.0
bwa-0.5.9,2015-09-30,HG00276,UK1_analysisId_113,HG00276,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000113,GATK4.0
bwa-0.5.9,2015-09-30,HG00277,UK1_analysisId_114,HG00277,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000114,GATK4.0
bwa-0.5.9,2015-09-30,HG00278,UK1_analysisId_115,HG00278,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000115,GATK4.0
bwa-0.5.9,2015-09-30,HG00280,UK1_analysisId_116,HG00280,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000116,GATK4.0
bwa-0.5.9,2015-09-30,HG00281,UK1_analysisId_117,HG00281,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000117,GATK4.0
bwa-0.5.9,2015-09-30,HG00282,UK1_analysisId_118,HG00282,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000118,GATK4.0
bwa-0.5.9,2015-09-30,HG00284,UK1_analysisId_119,HG00284,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000119,GATK4.0
bwa-0.5.9,2015-09-30,HG00285,UK1_analysisId_120,HG00285,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000120,GATK4.0
bwa-0.5.9,2015-09-30,HG00288,UK1_analysisId_121,HG00288,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000121,GATK4.0
bwa-0.5.9,2015-09-30,HG00290,UK1_analysisId_122,HG00290,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000122,GATK4.0
bwa-0.5.9,2015-09-30,HG00304,UK1_analysisId_123,HG00304,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000123,GATK4.0
bwa-0.5.9,2015-09-30,HG00306,UK1_analysisId_124,HG00306,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000124,GATK4.0
bwa-0.5.9,2015-09-30,HG00308,UK1_analysisId_125,HG00308,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000125,GATK4.0
bwa-0.5.9,2015-09-30,HG00309,UK1_analysisId_126,HG00309,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000126,GATK4.0
bwa-0.5.9,2015-09-30,HG00310,UK1_analysisId_127,HG00310,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000127,GATK4.0
bwa-0.5.9,2015-09-30,HG00311,UK1_analysisId_128,HG00311,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000128,GATK4.0
bwa-0.5.9,2015-09-30,HG00313,UK1_analysisId_129,HG00313,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000129,GATK4.0
bwa-0.5.9,2015-09-30,HG00315,UK1_analysisId_130,HG00315,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000130,GATK4.0
bwa-0.5.9,2015-09-30,HG00318,UK1_analysisId_131,HG00318,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000131,GATK4.0
bwa-0.5.9,2015-09-30,HG00319,UK1_analysisId_132,HG00319,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000132,GATK4.0
bwa-0.5.9,2015-09-30,HG00320,UK1_analysisId_133,HG00320,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000133,GATK4.0
bwa-0.5.9,2015-09-30,HG00321,UK1_analysisId_134,HG00321,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000134,GATK4.0
bwa-0.5.9,2015-09-30,HG00323,UK1_analysisId_135,HG00323,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000135,GATK4.0
bwa-0.5.9,2015-09-30,HG00324,UK1_analysisId_136,HG00324,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000136,GATK4.0
bwa-0.5.9,2015-09-30,HG00325,UK1_analysisId_137,HG00325,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000137,GATK4.0
bwa-0.5.9,2015-09-30,HG00326,UK1_analysisId_138,HG00326,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000138,GATK4.0
bwa-0.5.9,2015-09-30,HG00327,UK1_analysisId_139,HG00327,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000139,GATK4.0
bwa-0.5.9,2015-09-30,HG00328,UK1_analysisId_140,HG00328,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000140,GATK4.0
bwa-0.5.9,2015-09-30,HG00329,UK1_analysisId_141,HG00329,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000141,GATK4.0
bwa-0.5.9,2015-09-30,HG00330,UK1_analysisId_142,HG00330,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000142,GATK4.0
bwa-0.5.9,2015-09-30,HG00331,UK1_analysisId_143,HG00331,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000143,GATK4.0
bwa-0.5.9,2015-09-30,HG00332,UK1_analysisId_144,HG00332,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000144,GATK4.0
bwa-0.5.9,2015-09-30,HG00334,UK1_analysisId_145,HG00334,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000145,GATK4.0
bwa-0.5.9,2015-09-30,HG00335,UK1_analysisId_146,HG00335,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000146,GATK4.0
bwa-0.5.9,2015-09-30,HG00336,UK1_analysisId_147,HG00336,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000147,GATK4.0
bwa-0.5.9,2015-09-30,HG00337,UK1_analysisId_148,HG00337,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000148,GATK4.0
bwa-0.5.9,2015-09-30,HG00338,UK1_analysisId_149,HG00338,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000149,GATK4.0
bwa-0.5.9,2015-09-30,HG00339,UK1_analysisId_150,HG00339,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000150,GATK4.0
bwa-0.5.9,2015-09-30,HG00341,UK1_analysisId_151,HG00341,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000151,GATK4.0
bwa-0.5.9,2015-09-30,HG00342,UK1_analysisId_152,HG00342,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000152,GATK4.0
bwa-0.5.9,2015-09-30,HG00343,UK1_analysisId_153,HG00343,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000153,GATK4.0
bwa-0.5.9,2015-09-30,HG00344,UK1_analysisId_154,HG00344,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000154,GATK4.0
bwa-0.5.9,2015-09-30,HG00345,UK1_analysisId_155,HG00345,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000155,GATK4.0
bwa-0.5.9,2015-09-30,HG00346,UK1_analysisId_156,HG00346,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000156,GATK4.0
bwa-0.5.9,2015-09-30,HG00349,UK1_analysisId_157,HG00349,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000157,GATK4.0
bwa-0.5.9,2015-09-30,HG00350,UK1_analysisId_158,HG00350,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000158,GATK4.0
bwa-0.5.9,2015-09-30,HG00351,UK1_analysisId_159,HG00351,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000159,GATK4.0
bwa-0.5.9,2015-09-30,HG00353,UK1_analysisId_160,HG00353,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000160,GATK4.0
bwa-0.5.9,2015-09-30,HG00355,UK1_analysisId_161,HG00355,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000161,GATK4.0
bwa-0.5.9,2015-09-30,HG00356,UK1_analysisId_162,HG00356,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000162,GATK4.0
bwa-0.5.9,2015-09-30,HG00357,UK1_analysisId_163,HG00357,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000163,GATK4.0
bwa-0.5.9,2015-09-30,HG00358,UK1_analysisId_164,HG00358,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000164,GATK4.0
bwa-0.5.9,2015-09-30,HG00360,UK1_analysisId_165,HG00360,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000165,GATK4.0
